model_filename,balanced_accuracy_score,accuracy,f1_score,matthews_corrcoef
BidirGRU_BS=1024_MITBIH_biGRU_weights_preds,0.9038502447454684,0.9871185821304587,0.9247785679882142,0.957311507919293
BILSTM187_mitbih_MITBIH_weights_preds,0.8975729497533749,0.9859309336744017,0.9163345770572539,0.9533450413269955
BILSTM187_mitbih_MITBIH_biGRU_weights_preds,0.8856538925486467,0.9845605700712589,0.9104976848481081,0.9486790567025004
GRU_mitbih_MITBIH_weights_preds,0.8563174189814159,0.9789877580851453,0.8882279762685119,0.929741581387028
CNN_mitbih_MITBIH_biGRU_weights_preds,0.8478730878183471,0.9757445642243742,0.8739764315520855,0.9188782481009926
CNN_mitbih_MITBIH_weights_preds,0.8329139160857055,0.9744198794080029,0.8638296783291999,0.9141863899957146
LTSM_mitbih_MITBIH_weights_preds,0.8261099009899127,0.9708569340398319,0.8524442325602617,0.9020618266044944
SIMPLE_RNN_mitbih_MITBIH_weights_preds,0.7536954187875319,0.9549607162433765,0.7716234850140811,0.8474881441125122
BILSTM_mitbih_MITBIH_weights_preds,0.6573433022506142,0.9524483829709482,0.7160623197087354,0.8354867493404948
BIRNN187_mitbih_MITBIH_weights_preds,0.5779338075685911,0.9300200986661794,0.6162829579721304,0.7540117608000284
RNN_mitbih_MITBIH_biGRU_weights_preds,0.5561785175832606,0.929654668372008,0.6078152127867309,0.7497581686917232
BidirGRU_MITBIH_weights_preds,0.5362450657966464,0.9359583409464645,0.5750313546007909,0.7726782395066017
BidirGRU_MITBIH_biGRU_weights_preds,0.5307456485194285,0.9298830623058651,0.5710219816128614,0.7500463999864788
BIRNN10_mitbih_MITBIH_weights_preds,0.5143747810448643,0.9236707473049516,0.5465114103074671,0.7256149008752992
RNN_mitbih_MITBIH_weights_preds,0.49937419686915874,0.9191485474145806,0.5256253196721415,0.707648987093133
BIRNN187_mitbih_MITBIH_biGRU_weights_preds,0.48506079331223545,0.9228485291430659,0.5073136548178429,0.7206485021276984
BILSTM10_mitbih_MITBIH_biGRU_weights_preds,0.2,0.8276082587246483,0.18113471632091976,0.0
BILSTM187_ptb_MITBIH_weights_preds,0.2,0.8276082587246483,0.18113471632091976,0.0
